RandomID,JS,BO,TOI,CF,CS,YearsinMH,Gender,Age,Marital
1,96,65.0837863833749,21,62.2406604067761,29.434178386609,2,2,25,2
2,126,57.273965013298,21,55.3888913537492,30.9588091014546,6,2,28,2
3,115,66.6457506573903,21,62.2406604067761,32.4834398163001,1,2,22,1
4,107,68.2077149314057,21,62.2406604067761,34.0080705311457,9,2,55,1
5,81,69.7696792054211,21,50.2500645639791,34.0080705311457,2,2,25,2
6,137,66.6457506573903,13,53.6759490904925,34.0080705311457,1,2,26,2
7,91,60.3978935613288,20,58.8147758802627,35.5327012459912,11,2,35,2
8,129,63.5218221093595,18,67.3794871965463,35.5327012459912,3,2,36,2
9,89,51.0261079172364,21,39.9724109844388,35.5327012459912,30,2,54,2
10,88,63.5218221093595,21,55.3888913537492,37.0573319608367,4,2,32,2
11,99,60.3978935613288,21,46.8241800374656,37.0573319608367,25,2,55,1
12,122,57.273965013298,21,45.1112377742089,37.0573319608367,3,2,27,1
13,115,58.8359292873134,16,41.6853532476955,37.0573319608367,10,1,29,1
14,122,51.0261079172364,19,39.9724109844388,37.0573319608367,1,1,24,2
15,127,54.1500364652672,21,36.5465264579253,37.0573319608367,2,2,24,1
16,87,68.2077149314057,21,70.8053717230597,38.5819626756823,1,2,28,1
17,146,57.273965013298,15,65.6665449332895,38.5819626756823,1,2,23,2
18,105,71.3316434794365,21,70.8053717230597,38.5819626756823,1,1,30,2
19,96,60.3978935613288,13,41.6853532476955,38.5819626756823,4,2,29,1
20,111,54.1500364652672,12,50.2500645639791,40.1065933905278,8,2,38,1
21,132,63.5218221093595,18,51.9630068272358,40.1065933905278,1,1,23,2
22,132,47.9021793692056,15,34.8335841946686,40.1065933905278,9,2,35,2
23,108,66.6457506573903,21,51.9630068272358,40.1065933905278,3,1,35,1
24,115,58.8359292873134,20,53.6759490904925,41.6312241053734,17,1,40,1
25,103,65.0837863833749,21,60.5277181435194,41.6312241053734,1,2,22,2
26,96,52.5880721912518,21,45.1112377742089,41.6312241053734,6,2,31,2
27,93,51.0261079172364,21,41.6853532476955,41.6312241053734,6,1,28,2
28,72,66.6457506573903,21,58.8147758802627,41.6312241053734,6,1,32,2
29,148,61.9598578353442,16,58.8147758802627,41.6312241053734,2,2,27,2
30,71,57.273965013298,19,53.6759490904925,41.6312241053734,10,2,34,2
31,103,69.7696792054211,21,72.5183139863164,41.6312241053734,2,2,25,2
32,138,52.5880721912518,11,46.8241800374656,43.1558548202189,2,2,30,1
33,123,49.464143643221,12,45.1112377742089,43.1558548202189,6,2,38,1
34,109,58.8359292873134,19,48.5371223007224,43.1558548202189,3,2,25,2
35,122,55.7120007392826,19,46.8241800374656,43.1558548202189,4,2,25,1
36,109,52.5880721912518,16,55.3888913537492,43.1558548202189,3,2,29,2
37,99,63.5218221093595,16,55.3888913537492,43.1558548202189,12,2,36,1
38,149,47.9021793692056,15,50.2500645639791,43.1558548202189,5,2,24,1
39,152,49.464143643221,10,57.101833617006,43.1558548202189,1,2,22,2
40,152,52.5880721912518,6,43.3982955109522,43.1558548202189,11,1,36,2
41,154,51.0261079172364,12,36.5465264579253,43.1558548202189,14,2,34,2
42,120,54.1500364652672,13,51.9630068272358,44.6804855350645,15,2,52,1
43,114,55.7120007392826,14,46.8241800374656,44.6804855350645,17,2,40,1
44,109,54.1500364652672,21,48.5371223007224,44.6804855350645,1,2,23,2
45,102,58.8359292873134,16,65.6665449332895,44.6804855350645,10,2,32,1
46,127,43.2162865471594,15,46.8241800374656,44.6804855350645,3,1,22,2
47,126,60.3978935613288,21,65.6665449332895,44.6804855350645,5,2,27,2
48,123,47.9021793692056,21,53.6759490904925,44.6804855350645,6,2,28,1
49,107,61.9598578353442,8,57.101833617006,44.6804855350645,1,1,29,1
50,125,65.0837863833749,20,72.5183139863164,44.6804855350645,1,2,24,1
51,65,57.273965013298,18,39.9724109844388,44.6804855350645,20,2,40,1
52,113,49.464143643221,16,46.8241800374656,46.20511624991,2,2,47,1
53,110,61.9598578353442,14,60.5277181435194,46.20511624991,7,2,48,2
54,106,47.9021793692056,15,39.9724109844388,46.20511624991,9,1,30,1
55,99,52.5880721912518,20,41.6853532476955,46.20511624991,5,1,30,2
56,156,47.9021793692056,14,41.6853532476955,46.20511624991,1,2,40,1
57,136,41.654322273144,12,38.259468721182,46.20511624991,1,2,21,1
58,141,44.7782508211748,14,53.6759490904925,46.20511624991,2,1,29,1
59,100,51.0261079172364,21,60.5277181435194,46.20511624991,25,1,47,2
60,76,65.0837863833749,21,51.9630068272358,46.20511624991,11,1,35,1
61,89,52.5880721912518,21,65.6665449332895,46.20511624991,10,1,33,1
62,129,49.464143643221,16,41.6853532476955,47.7297469647555,8,1,34,2
63,157,46.3402150951902,8,48.5371223007224,47.7297469647555,32,2,60,2
64,103,54.1500364652672,21,53.6759490904925,47.7297469647555,8,2,33,2
65,97,51.0261079172364,17,45.1112377742089,47.7297469647555,4,1,27,2
66,150,46.3402150951902,13,53.6759490904925,47.7297469647555,1,1,23,2
67,109,55.7120007392826,21,58.8147758802627,47.7297469647555,3,2,56,2
68,119,55.7120007392826,19,46.8241800374656,47.7297469647555,1,1,23,1
69,121,46.3402150951902,18,50.2500645639791,47.7297469647555,7,2,32,1
70,137,46.3402150951902,6,43.3982955109522,47.7297469647555,9,1,32,2
71,149,49.464143643221,6,41.6853532476955,47.7297469647555,1,2,24,1
72,158,40.0923579991286,9,41.6853532476955,47.7297469647555,1,1,28,1
73,158,44.7782508211748,5,51.9630068272358,47.7297469647555,14,2,37,2
74,180,47.9021793692056,4,45.1112377742089,47.7297469647555,2,2,26,1
75,129,58.8359292873134,6,53.6759490904925,47.7297469647555,12,2,34,1
76,175,41.654322273144,12,39.9724109844388,47.7297469647555,23,2,57,1
77,155,52.5880721912518,16,41.6853532476955,47.7297469647555,11,2,37,1
78,141,60.3978935613288,18,72.5183139863164,47.7297469647555,2,1,34,2
79,124,47.9021793692056,14,50.2500645639791,49.2543776796011,4,2,27,2
80,129,47.9021793692056,17,53.6759490904925,49.2543776796011,19,2,44,1
81,104,57.273965013298,15,60.5277181435194,49.2543776796011,6,2,30,2
82,146,54.1500364652672,9,60.5277181435194,49.2543776796011,3,2,24,2
83,112,58.8359292873134,20,55.3888913537492,49.2543776796011,2,2,25,2
84,134,55.7120007392826,10,46.8241800374656,49.2543776796011,1,2,46,1
85,131,43.2162865471594,18,38.259468721182,49.2543776796011,17,2,38,2
86,124,49.464143643221,6,50.2500645639791,49.2543776796011,22,2,51,2
87,114,58.8359292873134,10,50.2500645639791,49.2543776796011,1,1,24,2
88,109,55.7120007392826,21,65.6665449332895,49.2543776796011,1,2,25,2
89,89,60.3978935613288,20,65.6665449332895,49.2543776796011,4,2,29,2
90,171,51.0261079172364,5,45.1112377742089,49.2543776796011,10,2,61,2
91,128,49.464143643221,13,46.8241800374656,50.7790083944466,1,1,22,2
92,126,49.464143643221,11,45.1112377742089,50.7790083944466,26,2,54,2
93,138,46.3402150951902,10,55.3888913537492,50.7790083944466,6,1,31,1
94,174,43.2162865471594,6,46.8241800374656,50.7790083944466,9,1,39,1
95,121,51.0261079172364,21,46.8241800374656,50.7790083944466,12,2,35,1
96,166,40.0923579991286,12,39.9724109844388,50.7790083944466,1,1,24,1
97,95,52.5880721912518,20,60.5277181435194,50.7790083944466,4,1,27,2
98,101,57.273965013298,11,58.8147758802627,50.7790083944466,5,2,43,1
99,164,46.3402150951902,3,39.9724109844388,50.7790083944466,3,2,24,1
100,143,40.0923579991286,17,38.259468721182,50.7790083944466,10,2,32,1
101,107,43.2162865471594,21,45.1112377742089,50.7790083944466,2,2,28,1
102,155,57.273965013298,6,62.2406604067761,50.7790083944466,5,2,48,1
103,179,51.0261079172364,5,46.8241800374656,50.7790083944466,7,1,36,1
104,122,58.8359292873134,14,72.5183139863164,50.7790083944466,7,1,33,1
105,162,41.654322273144,17,39.9724109844388,50.7790083944466,2,1,24,1
106,156,40.0923579991286,16,53.6759490904925,50.7790083944466,1,2,25,2
107,94,63.5218221093595,21,50.2500645639791,50.7790083944466,17,1,33,2
108,152,43.2162865471594,13,46.8241800374656,52.3036391092922,1,2,22,2
109,159,41.654322273144,8,46.8241800374656,52.3036391092922,4,1,30,1
110,114,54.1500364652672,12,51.9630068272358,52.3036391092922,4,1,28,2
111,148,46.3402150951902,6,43.3982955109522,52.3036391092922,4,2,23,2
112,146,49.464143643221,6,51.9630068272358,52.3036391092922,10,2,47,1
113,154,40.0923579991286,7,39.9724109844388,52.3036391092922,1,2,22,2
114,118,43.2162865471594,16,45.1112377742089,52.3036391092922,3,1,51,1
115,134,52.5880721912518,18,55.3888913537492,52.3036391092922,30,2,51,2
116,140,41.654322273144,6,36.5465264579253,52.3036391092922,6,2,30,1
117,79,54.1500364652672,21,38.259468721182,52.3036391092922,7,1,41,1
118,133,36.9684294510978,21,36.5465264579253,52.3036391092922,6,1,30,2
119,135,51.0261079172364,12,53.6759490904925,53.8282698241377,12,2,38,2
120,117,52.5880721912518,13,51.9630068272358,53.8282698241377,8,2,34,2
121,146,41.654322273144,6,46.8241800374656,53.8282698241377,20,1,50,2
122,148,51.0261079172364,9,46.8241800374656,53.8282698241377,1,2,23,1
123,153,40.0923579991286,13,48.5371223007224,53.8282698241377,23,2,45,2
124,129,38.5303937251132,14,39.9724109844388,53.8282698241377,1,2,37,2
125,92,47.9021793692056,17,48.5371223007224,53.8282698241377,25,2,46,2
126,144,52.5880721912518,18,57.101833617006,53.8282698241377,2,2,25,1
127,139,44.7782508211748,3,39.9724109844388,53.8282698241377,1,2,32,1
128,141,49.464143643221,3,45.1112377742089,53.8282698241377,3,2,34,1
129,83,49.464143643221,21,48.5371223007224,53.8282698241377,1,2,35,1
130,135,44.7782508211748,21,46.8241800374656,53.8282698241377,13,2,39,1
131,78,57.273965013298,15,45.1112377742089,53.8282698241377,2,1,28,2
132,148,41.654322273144,12,48.5371223007224,55.3529005389832,4,1,25,1
133,145,43.2162865471594,6,46.8241800374656,55.3529005389832,1,2,24,2
134,115,44.7782508211748,16,41.6853532476955,55.3529005389832,13,1,32,1
135,170,40.0923579991286,3,41.6853532476955,55.3529005389832,1,2,57,2
136,126,46.3402150951902,19,46.8241800374656,55.3529005389832,8,2,42,2
137,94,51.0261079172364,20,48.5371223007224,55.3529005389832,4,2,42,1
138,177,33.844500903067,3,36.5465264579253,55.3529005389832,6,2,34,2
139,154,41.654322273144,17,57.101833617006,55.3529005389832,8,2,31,2
140,157,43.2162865471594,10,43.3982955109522,56.8775312538288,8,2,38,1
141,161,40.0923579991286,6,46.8241800374656,56.8775312538288,8,2,30,1
142,151,38.5303937251132,6,41.6853532476955,56.8775312538288,7,2,48,2
143,138,43.2162865471594,17,45.1112377742089,56.8775312538288,14,2,46,1
144,165,44.7782508211748,3,43.3982955109522,56.8775312538288,1,2,40,1
145,169,46.3402150951902,8,41.6853532476955,56.8775312538288,17,2,38,2
146,142,40.0923579991286,17,39.9724109844388,56.8775312538288,7,2,57,1
147,167,40.0923579991286,3,53.6759490904925,56.8775312538288,1,2,43,1
148,130,38.5303937251132,4,38.259468721182,56.8775312538288,24,2,48,1
149,92,43.2162865471594,17,38.259468721182,56.8775312538288,17,2,42,1
150,127,41.654322273144,21,48.5371223007224,56.8775312538288,14,2,45,2
151,149,40.0923579991286,5,48.5371223007224,58.4021619686743,6,2,34,2
152,132,47.9021793692056,6,41.6853532476955,58.4021619686743,20,2,64,1
153,119,46.3402150951902,18,38.259468721182,58.4021619686743,21,1,46,2
154,126,43.2162865471594,18,36.5465264579253,58.4021619686743,13,2,33,1
155,83,44.7782508211748,21,45.1112377742089,58.4021619686743,3,2,25,2
156,130,46.3402150951902,21,39.9724109844388,58.4021619686743,2,2,24,1
157,80,54.1500364652672,17,46.8241800374656,58.4021619686743,12,1,34,1
158,146,41.654322273144,12,48.5371223007224,59.9267926835199,1,2,22,2
159,126,46.3402150951902,12,41.6853532476955,59.9267926835199,1,2,31,2
160,161,44.7782508211748,3,50.2500645639791,59.9267926835199,43,2,67,1
161,186,36.9684294510978,3,41.6853532476955,59.9267926835199,2,2,26,1
162,142,46.3402150951902,17,45.1112377742089,59.9267926835199,5,2,58,2
163,177,33.844500903067,3,48.5371223007224,59.9267926835199,20,2,61,1
164,95,41.654322273144,21,46.8241800374656,59.9267926835199,1,2,35,1
165,153,43.2162865471594,11,45.1112377742089,61.4514233983654,2,2,40,1
166,163,36.9684294510978,3,41.6853532476955,61.4514233983654,1,2,41,1
167,180,33.844500903067,3,46.8241800374656,61.4514233983654,4,2,33,1
168,120,40.0923579991286,6,41.6853532476955,61.4514233983654,26,1,51,1
169,163,41.654322273144,15,51.9630068272358,61.4514233983654,24,1,58,1
170,203,32.2825366290516,3,38.259468721182,61.4514233983654,35,2,55,2
171,79,51.0261079172364,21,55.3888913537492,61.4514233983654,6,2,32,1
172,158,35.4064651770824,3,41.6853532476955,62.976054113211,5,2,34,1
173,169,38.5303937251132,3,50.2500645639791,62.976054113211,20,2,45,1
174,180,33.844500903067,3,43.3982955109522,62.976054113211,23,1,64,1
175,152,36.9684294510978,3,48.5371223007224,62.976054113211,20,2,52,1
176,148,43.2162865471594,3,39.9724109844388,62.976054113211,14,1,40,2
177,164,41.654322273144,13,53.6759490904925,62.976054113211,35,2,57,1
178,168,35.4064651770824,3,53.6759490904925,62.976054113211,6,2,32,1
179,115,51.0261079172364,19,51.9630068272358,62.976054113211,2,2,35,2
180,161,35.4064651770824,4,36.5465264579253,64.5006848280565,29,2,51,1
181,131,38.5303937251132,4,41.6853532476955,64.5006848280565,20,2,59,2
182,166,40.0923579991286,3,57.101833617006,64.5006848280565,9,2,30,2
183,147,49.464143643221,7,55.3888913537492,64.5006848280565,6,2,31,1
184,112,49.464143643221,14,55.3888913537492,64.5006848280565,10,2,41,1
185,186,43.2162865471594,3,38.259468721182,64.5006848280565,11,2,42,2
186,153,41.654322273144,6,43.3982955109522,66.025315542902,30,2,60,1
187,141,36.9684294510978,3,43.3982955109522,66.025315542902,3,2,34,1
188,187,40.0923579991286,3,51.9630068272358,66.025315542902,3,2,25,1
189,156,43.2162865471594,3,57.101833617006,66.025315542902,1,2,24,2
190,117,40.0923579991286,17,45.1112377742089,66.025315542902,5,2,46,2
191,198,40.0923579991286,3,50.2500645639791,66.025315542902,12,2,44,1
192,132,30.7205723550362,6,38.259468721182,66.025315542902,14,2,57,2
193,201,36.9684294510978,3,38.259468721182,66.025315542902,1,2,23,2
194,159,35.4064651770824,6,39.9724109844388,67.5499462577476,8,1,29,1
195,167,30.7205723550362,3,39.9724109844388,67.5499462577476,4,2,27,1
196,198,32.2825366290516,3,41.6853532476955,67.5499462577476,3,2,30,1
197,121,43.2162865471594,12,58.8147758802627,67.5499462577476,15,1,37,1
198,207,33.844500903067,3,46.8241800374656,67.5499462577476,38,2,61,1
199,152,49.464143643221,3,60.5277181435194,67.5499462577476,8,2,30,2
200,131,41.654322273144,19,41.6853532476955,67.5499462577476,20,2,48,1
