ID,Group,Gender,Round1,Round2,Round3,Prefer
1,1,1,3,3,1,3
2,1,1,4,3,1,4
3,1,1,4,3,1,3
4,1,1,5,2,1,1
5,1,1,4,7,2,2
6,1,1,4,6,2,3
7,1,1,4,6,2,4
8,1,1,3,5,2,4
9,1,1,5,4,2,3
10,1,1,4,4,2,4
11,1,1,3,4,2,3
12,1,1,3,4,2,2
13,2,1,5,4,2,3
14,2,1,4,4,2,5
15,2,1,4,4,2,6
16,1,1,6,3,2,4
17,1,1,6,3,2,2
18,1,1,4,3,2,3
19,1,1,4,3,2,2
20,1,1,4,3,2,3
21,1,1,3,3,2,2
22,1,1,3,3,2,4
23,1,1,3,3,2,3
24,2,1,4,3,2,4
25,1,1,5,1,2,1
26,1,1,5,1,2,3
27,1,1,1,1,2,3
28,1,1,5,7,3,3
29,1,1,5,6,3,1
30,1,1,5,6,3,3
31,1,1,5,6,3,3
32,1,1,5,6,3,4
33,1,1,4,6,3,2
34,1,1,5,5,3,3
35,1,1,4,5,3,5
36,1,1,3,5,3,4
37,2,1,7,5,3,4
38,2,1,6,5,3,5
39,2,1,4,5,3,4
40,2,1,4,5,3,6
41,2,1,3,5,3,4
42,2,1,3,5,3,4
43,2,1,1,5,3,3
44,1,1,5,4,3,2
45,1,1,4,4,3,2
46,1,1,2,4,3,2
47,2,1,5,4,3,4
48,2,1,5,4,3,2
49,2,1,4,4,3,4
50,2,1,4,4,3,6
51,2,1,4,4,3,3
52,2,1,4,4,3,4
53,2,1,4,4,3,5
54,2,1,3,4,3,4
55,1,2,7,3,3,4
56,1,2,6,3,3,5
57,1,2,5,3,3,2
58,1,2,5,3,3,3
59,1,2,5,3,3,2
60,1,2,4,3,3,4
61,1,2,4,3,3,4
62,1,2,4,3,3,1
63,1,2,4,3,3,4
64,1,2,3,3,3,5
65,1,2,3,3,3,3
66,1,2,3,3,3,5
67,2,1,6,3,3,4
68,2,1,6,3,3,5
69,2,1,4,3,3,6
70,2,1,3,3,3,4
71,1,2,6,2,3,5
72,1,2,4,2,3,3
73,1,2,4,2,3,3
74,1,2,4,2,3,4
75,1,2,3,2,3,3
76,1,2,3,2,3,5
77,2,1,5,2,3,5
78,2,2,5,2,3,7
79,1,2,5,1,3,4
80,1,2,5,1,3,4
81,1,2,4,1,3,4
82,1,2,4,1,3,4
83,1,2,3,1,3,4
84,1,2,1,1,3,4
85,1,2,5,1,3,2
86,1,2,4,1,3,4
87,1,2,4,1,3,4
88,1,2,3,1,3,3
89,1,2,3,7,4,5
90,2,2,3,6,4,6
91,1,2,5,5,4,5
92,1,2,3,5,4,2
93,1,2,3,5,4,3
94,1,2,2,5,4,4
95,2,2,5,5,4,7
96,2,2,5,5,4,5
97,2,2,4,5,4,5
98,2,2,4,5,4,5
99,2,2,3,5,4,5
100,1,2,5,4,4,4
101,1,2,5,4,4,3
102,1,2,5,4,4,3
103,1,2,3,4,4,3
104,2,2,5,4,4,5
105,2,2,4,4,4,5
106,2,2,4,4,4,3
107,2,2,4,4,4,5
108,2,2,4,4,4,6
109,2,2,4,4,4,4
110,2,2,4,4,4,5
111,2,2,4,4,4,4
112,2,2,3,4,4,5
113,2,2,3,4,4,4
114,2,2,2,4,4,6
115,2,2,2,4,4,4
116,2,2,1,4,4,4
117,1,2,6,3,4,5
118,1,2,5,3,4,2
119,1,2,5,3,4,3
120,1,2,4,3,4,1
121,1,2,4,3,4,4
122,1,2,4,3,4,3
123,1,2,4,3,4,5
124,1,2,3,3,4,3
125,1,2,2,3,4,2
126,1,2,2,3,4,2
127,2,2,4,3,4,3
128,2,2,4,3,4,6
129,2,2,4,3,4,6
130,2,2,4,3,4,5
131,2,2,3,3,4,6
132,2,2,3,3,4,5
133,1,2,55,2,4,4
134,1,2,4,2,4,2
135,1,2,4,2,4,3
136,1,2,3,2,4,3
137,1,2,3,2,4,4
138,1,2,2,2,4,3
139,2,2,5,2,4,4
140,2,2,4,2,4,6
141,1,2,5,1,4,4
142,1,2,4,1,4,4
143,1,2,4,1,4,4
144,1,2,3,1,4,5
145,1,2,5,1,4,5
146,1,2,5,1,4,3
147,1,2,4,1,4,1
148,1,2,3,6,5,2
149,2,2,3,5,5,4
150,2,2,3,5,5,3
151,2,2,3,5,5,5
152,1,2,3,4,5,3
153,2,2,4,4,5,4
154,2,2,3,4,5,6
155,2,2,2,4,5,3
156,1,2,6,3,5,4
157,2,2,66,3,5,5
158,2,2,5,3,5,5
159,2,2,4,3,5,5
160,2,2,3,3,5,5
161,2,2,3,3,5,5
162,2,2,2,3,5,5
163,2,2,5,4,6,5
164,2,2,3,4,6,4
165,2,2,5,2,6,5
166,2,2,5,2,7,4
